"YEAR","AGE_GROUP","METRIC","FINES","STATE"
2024,"26-39","Non Wearing Seatbelts",0,"VIC"
2024,"26-39","Non Wearing Seatbelts",213,"VIC"
2024,"26-39","Speed Fines",1686,"VIC"
2024,"26-39","Speed Fines",0,"VIC"
2024,"26-39","Speed Fines",3920,"VIC"
2024,"26-39","Unlicensed Driving",326,"VIC"
2024,"40-64","Mobile Phone Use",0,"VIC"
2024,"40-64","Mobile Phone Use",0,"VIC"
2024,"40-64","Mobile Phone Use",452,"VIC"
2024,"40-64","Non Wearing Seatbelts",0,"VIC"
2024,"40-64","Non Wearing Seatbelts",0,"VIC"
2024,"40-64","Non Wearing Seatbelts",171,"VIC"
2024,"40-64","Speed Fines",2198,"VIC"
2024,"40-64","Speed Fines",0,"VIC"
2024,"40-64","Speed Fines",4556,"VIC"
2024,"40-64","Unlicensed Driving",189,"VIC"
2024,"65 and over","Mobile Phone Use",0,"VIC"
2024,"65 and over","Mobile Phone Use",0,"VIC"
2024,"65 and over","Mobile Phone Use",56,"VIC"
2024,"65 and over","Non Wearing Seatbelts",0,"VIC"
2024,"65 and over","Non Wearing Seatbelts",0,"VIC"
2024,"65 and over","Non Wearing Seatbelts",35,"VIC"
2024,"65 and over","Speed Fines",487,"VIC"
2024,"65 and over","Speed Fines",0,"VIC"
2024,"65 and over","Speed Fines",979,"VIC"
2024,"65 and over","Unlicensed Driving",17,"VIC"
2024,"0-16","Speed Fines",1,"WA"
2024,"0-16","Speed Fines",9,"WA"
2024,"0-16","Speed Fines",13,"WA"
2024,"0-16","Speed Fines",5,"WA"
2024,"0-16","Unlicensed Driving",0,"WA"
2024,"17-25","Mobile Phone Use",62,"WA"
2024,"17-25","Mobile Phone Use",0,"WA"
2024,"17-25","Non Wearing Seatbelts",75,"WA"
2024,"17-25","Non Wearing Seatbelts",0,"WA"
2024,"17-25","Speed Fines",174,"WA"
2024,"17-25","Speed Fines",833,"WA"
2024,"17-25","Speed Fines",3729,"WA"
2024,"17-25","Speed Fines",1046,"WA"
2024,"17-25","Speed Fines",737,"WA"
2024,"17-25","Speed Fines",0,"WA"
2024,"17-25","Unlicensed Driving",43,"WA"
2024,"26-39","Mobile Phone Use",130,"WA"
2024,"26-39","Mobile Phone Use",0,"WA"
2024,"26-39","Non Wearing Seatbelts",112,"WA"
2024,"26-39","Non Wearing Seatbelts",0,"WA"
2024,"26-39","Speed Fines",416,"WA"
2024,"26-39","Speed Fines",2838,"WA"
2024,"26-39","Speed Fines",10520,"WA"
2024,"26-39","Speed Fines",2140,"WA"
2024,"26-39","Speed Fines",2912,"WA"
2024,"26-39","Speed Fines",0,"WA"
2024,"26-39","Unlicensed Driving",116,"WA"
2024,"40-64","Mobile Phone Use",91,"WA"
2024,"40-64","Mobile Phone Use",0,"WA"
2024,"40-64","Non Wearing Seatbelts",68,"WA"
2024,"40-64","Non Wearing Seatbelts",0,"WA"
2024,"40-64","Speed Fines",522,"WA"
